,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
2020-02-13,106.05,114.9,107.69,88.23,91.08,88.26,106.32,114.81,97.55,111.4,112.7,93.54,95.97,120.58,114.91,103.36,116.95,102.58,109.56,124.47,110.8,95.36,112.11,104.73,111.73,83.82,105.88,92.37,128.95,103.5,101.98,105.74,116.9,101.21,131.26,102.25,105.16,100.45,111.28,108.62,114.88,81.43,117.43,124.09,115.46,110.04,105.5,114.21,99.41,119.34,102.83,104.62,102.43,108.37,85.15,83.65,110.08,100.31,92.54,25.45,123.0,106.79,95.41,89.56,87.6,112.41,110.0,112.87,85.86,121.77,90.15,128.56,106.14,115.09,104.75,108.75,82.55,105.12,108.08,92.6,31.15,102.31,117.32,96.14,95.34,115.02,97.01,111.8,113.12,108.76,89.31,100.32,94.31
2020-02-14,139.38,151.98,131.68,105.8,133.78,137.17,140.22,152.54,127.39,141.38,148.82,124.37,129.12,149.91,135.83,140.7,144.66,134.65,159.51,161.01,154.07,132.66,130.9,129.12,132.6,111.05,135.43,131.05,157.29,149.44,127.62,128.6,147.31,114.3,164.84,126.18,132.9,130.35,162.82,138.1,169.45,112.02,145.47,156.73,140.44,120.21,140.24,157.8,155.57,150.56,141.59,118.09,131.58,132.93,99.95,129.49,136.3,149.65,120.42,32.46,163.41,134.4,138.22,122.83,97.77,147.22,132.34,140.47,125.99,149.03,119.21,148.9,140.92,146.81,147.11,150.89,117.74,150.8,119.2,132.49,36.68,128.05,142.1,135.35,131.63,148.47,137.46,141.06,113.61,141.47,114.88,151.32,127.37
2020-02-15,143.18,170.68,126.0,99.88,151.73,153.88,143.98,171.81,133.23,127.6,199.06,130.53,142.34,142.32,133.18,131.15,167.45,118.92,189.97,160.58,141.41,138.45,127.35,115.01,125.47,110.91,159.98,138.23,151.52,153.43,144.55,129.16,148.06,114.72,170.31,131.27,156.4,132.05,147.73,139.77,142.49,127.0,149.36,175.42,143.86,107.56,140.99,125.12,148.89,132.65,139.64,135.82,128.94,123.33,92.32,151.05,147.17,156.03,110.71,31.13,177.9,130.95,131.86,117.4,120.56,135.26,117.39,160.97,126.15,168.21,139.77,144.08,159.92,139.36,142.24,148.07,135.9,151.13,118.85,119.46,34.33,153.52,146.23,162.89,138.75,143.99,133.69,130.31,168.91,130.6,111.97,138.71,128.69
2020-02-16,98.64,114.08,92.09,87.46,98.39,83.45,99.6,115.33,87.42,101.5,168.49,104.53,97.57,100.4,95.47,100.92,107.47,92.65,135.21,119.81,103.51,75.07,83.98,86.08,96.49,100.78,127.13,104.2,103.49,103.56,106.89,98.34,118.53,87.81,124.22,97.73,101.66,96.01,109.57,99.95,142.24,70.76,101.17,108.14,104.9,91.75,95.67,99.53,125.23,105.84,100.99,88.16,92.51,88.73,82.07,92.42,105.37,121.42,82.13,18.57,108.42,99.29,119.51,96.12,102.45,115.99,93.97,113.98,99.54,126.72,90.06,110.42,110.3,96.12,105.68,99.29,94.74,135.62,84.36,96.56,22.25,97.06,97.13,96.56,106.59,104.02,94.59,100.04,93.47,100.11,84.19,125.66,103.8
2020-02-17,103.55,99.23,105.09,102.56,103.83,96.65,104.62,100.14,102.21,119.14,130.57,108.4,111.58,105.79,111.7,118.3,103.02,107.38,118.51,133.66,109.0,81.16,102.28,109.23,96.87,106.27,128.34,108.86,113.55,112.08,104.27,109.58,120.11,100.06,129.36,105.17,109.04,113.32,120.88,103.15,136.31,95.78,112.16,111.63,112.03,98.6,109.89,131.02,120.09,118.11,109.26,96.5,106.89,102.97,98.77,98.95,113.44,119.99,76.84,21.79,110.08,109.41,119.59,112.74,96.96,118.0,114.62,113.4,112.69,126.29,101.16,116.2,114.24,114.55,108.88,98.45,96.97,127.4,100.0,100.05,42.27,108.67,108.02,101.76,108.52,112.42,111.31,106.79,99.72,121.99,95.24,130.16,104.26
2020-02-18,104.06,106.36,107.53,106.92,114.98,97.88,104.75,106.41,93.29,111.53,119.1,111.44,110.07,102.44,111.81,114.12,105.94,109.45,111.67,118.59,111.39,82.22,101.34,108.44,98.36,102.57,108.62,102.33,110.41,108.19,112.87,108.21,115.76,99.39,111.67,99.62,110.51,108.48,118.37,97.53,105.16,100.45,109.22,124.25,109.05,96.48,111.15,115.92,109.95,108.7,99.6,97.73,109.29,108.45,103.4,115.66,119.86,113.42,75.24,20.05,119.13,101.81,100.18,113.15,88.05,111.43,105.43,112.73,117.74,111.69,108.01,112.69,103.04,111.57,99.64,90.73,121.92,110.06,103.21,91.28,33.71,113.08,104.55,90.6,114.41,111.16,112.05,99.74,96.98,106.86,109.26,104.9,110.02
2020-02-19,107.67,120.01,110.68,106.15,106.84,112.24,108.01,120.79,98.56,112.86,111.95,107.28,117.46,107.16,111.76,105.77,107.13,103.45,111.07,116.85,112.81,78.45,108.86,110.41,99.59,89.74,109.98,104.72,117.22,111.81,101.92,112.9,116.63,102.92,114.44,102.46,117.67,110.5,124.34,99.45,104.21,120.09,124.82,120.18,111.65,92.63,113.66,111.61,109.28,110.87,107.02,100.86,108.65,111.17,103.51,104.03,114.63,122.39,76.08,21.2,126.07,102.79,107.5,112.39,95.1,110.75,106.68,114.26,99.08,117.4,117.86,110.99,106.65,110.55,102.7,98.78,106.27,113.31,104.95,91.21,27.67,113.39,108.04,99.75,115.91,114.35,110.78,105.19,90.81,114.52,117.49,105.51,106.84
2020-02-20,110.01,120.4,122.98,100.51,104.7,113.53,111.55,121.88,103.82,125.35,125.4,124.07,112.97,116.33,113.59,114.03,102.82,115.02,114.62,116.93,118.07,85.31,107.13,117.5,99.8,99.22,118.12,118.43,115.72,113.1,104.22,121.7,122.72,119.57,117.9,109.17,126.05,117.75,126.67,110.17,121.6,111.84,119.32,124.92,120.35,89.77,119.56,123.76,115.72,114.43,106.83,117.42,115.02,125.53,97.48,100.71,122.65,128.04,85.09,21.68,129.82,107.96,117.74,112.63,104.08,115.72,117.39,119.28,116.36,128.56,121.14,116.09,110.7,136.79,109.14,122.06,112.26,130.2,99.39,104.17,35.88,123.79,120.2,146.6,114.24,118.09,109.96,112.6,99.58,119.75,107.37,123.55,115.47
2020-02-21,133.28,139.34,134.18,109.37,142.61,129.9,134.61,139.3,129.8,148.85,165.19,140.42,129.71,137.24,148.85,140.05,142.8,133.55,166.2,154.02,147.65,127.34,124.29,131.78,132.68,127.51,154.99,141.79,143.28,144.72,138.62,136.25,143.07,149.09,142.28,125.99,132.22,137.97,164.77,140.34,154.52,126.46,146.36,156.98,141.51,115.45,142.19,141.38,143.15,136.63,129.79,123.38,137.33,133.54,103.32,141.86,142.04,149.77,115.9,31.32,153.43,148.01,148.81,132.99,120.19,148.74,139.08,149.43,127.37,160.56,146.14,141.13,143.88,135.06,140.06,171.21,124.22,151.25,115.55,128.13,37.11,163.81,136.27,141.65,135.85,145.17,138.65,128.22,123.65,134.65,118.67,152.05,131.7
2020-02-22,138.32,161.48,135.73,103.61,180.06,126.22,139.09,160.99,131.33,151.82,247.51,143.76,177.09,147.86,135.62,125.35,122.26,129.65,177.61,151.48,167.93,182.03,174.31,121.82,122.53,125.16,179.95,148.84,154.94,145.8,158.6,147.92,185.35,129.6,156.8,130.91,134.23,145.54,179.83,129.88,139.07,118.92,132.54,149.92,151.85,117.21,153.03,147.86,172.4,136.48,146.25,135.55,135.8,131.59,94.25,180.13,149.76,165.16,120.48,33.43,177.47,136.48,124.89,126.64,130.51,151.13,115.71,145.66,120.18,158.57,119.02,141.59,145.33,137.27,146.34,186.78,168.28,172.45,123.11,132.77,40.68,147.74,137.48,157.26,128.47,149.6,150.98,137.47,152.77,134.01,131.61,144.22,129.79
2020-02-23,90.26,100.63,91.15,81.66,96.97,87.03,91.46,100.0,91.69,110.06,175.73,115.23,105.96,98.56,116.03,107.05,99.38,89.53,114.67,118.97,108.15,76.33,95.86,81.46,82.11,94.58,120.45,102.33,108.41,99.84,109.51,95.13,115.16,90.35,110.46,92.97,106.07,99.67,114.41,96.0,147.52,73.9,91.06,97.76,104.45,87.42,95.65,98.84,119.49,104.12,105.62,95.64,93.08,88.56,73.67,92.5,109.53,120.42,88.14,18.39,117.77,105.42,132.48,92.34,87.9,121.98,90.0,118.95,80.89,102.42,87.26,118.53,104.65,102.39,97.98,97.79,94.59,127.91,94.44,99.01,24.62,108.51,90.01,88.66,113.97,118.45,96.93,98.44,93.96,101.29,83.22,131.37,88.26
2020-02-24,101.14,107.09,101.24,96.92,93.09,101.79,101.66,107.12,91.41,105.85,111.57,114.04,110.74,102.49,101.68,104.03,100.67,106.36,93.08,111.01,110.25,88.5,95.8,105.18,91.9,88.38,112.0,108.28,111.37,104.14,95.99,99.96,102.69,97.73,114.36,97.26,100.05,105.65,111.78,97.53,108.3,90.22,99.33,107.72,103.43,90.22,106.82,111.3,108.09,105.91,107.05,102.16,101.37,101.85,94.46,90.15,112.18,110.9,70.97,16.84,116.72,102.86,100.79,104.77,92.2,112.17,96.68,108.04,98.93,112.23,99.81,103.12,101.82,89.33,98.43,87.49,111.75,115.21,97.74,91.64,32.9,105.78,101.02,100.67,105.89,104.64,102.7,101.53,97.47,106.68,103.27,105.63,100.5
2020-02-25,105.89,116.97,108.59,104.29,105.9,110.23,106.43,118.7,99.93,109.91,113.45,114.86,118.8,107.64,110.43,102.9,103.21,105.31,107.35,112.96,113.48,84.73,99.71,108.93,101.9,90.45,109.98,101.68,117.86,107.23,104.59,110.14,118.57,99.63,111.83,100.75,108.72,109.31,114.38,96.53,95.54,112.74,109.0,114.53,111.44,94.62,108.49,111.68,102.75,105.64,88.94,102.27,109.98,109.04,101.61,102.43,105.55,110.13,75.3,18.84,118.96,108.95,106.44,105.22,93.91,106.37,106.9,116.42,110.02,113.69,114.86,107.25,107.6,109.3,101.74,88.43,112.4,112.2,100.61,92.07,28.78,104.57,110.06,103.27,110.02,112.22,108.61,103.95,100.98,109.33,102.2,105.47,107.21
2020-02-26,97.64,108.34,107.35,94.8,108.45,96.25,97.6,108.45,92.21,101.08,96.8,91.01,85.56,106.78,103.05,94.05,95.64,92.77,106.23,105.21,110.1,82.42,104.14,97.64,102.25,79.26,111.92,95.15,114.12,94.59,101.55,103.1,118.69,98.57,113.96,101.14,108.87,97.14,98.91,93.75,92.45,88.52,112.72,118.85,108.2,96.45,94.69,91.54,95.9,110.07,99.71,99.37,105.74,109.72,90.53,106.47,90.32,93.5,74.78,17.31,106.94,101.06,92.85,86.03,86.34,104.37,101.36,111.82,99.46,108.3,107.92,116.94,101.4,106.56,94.11,92.94,77.36,94.31,93.57,88.17,29.73,100.05,109.68,109.74,85.59,111.25,90.41,99.72,99.51,110.87,87.57,90.31,87.5
2020-02-27,109.69,112.49,113.92,93.99,117.25,102.12,109.45,114.29,105.88,119.17,101.6,123.25,123.16,113.48,118.12,119.43,128.24,109.01,117.08,127.56,120.12,91.79,114.2,106.53,102.96,97.93,111.35,114.94,129.55,109.4,117.25,110.81,106.77,105.15,124.34,106.56,116.7,112.27,115.92,106.99,120.08,86.82,119.21,123.42,115.47,105.74,106.56,108.42,118.45,119.22,108.27,110.87,109.81,116.07,89.72,119.75,111.34,115.39,88.82,22.03,126.54,108.18,116.06,100.93,96.36,120.58,103.59,126.93,111.77,120.69,109.27,127.03,115.29,122.78,107.51,100.94,106.92,115.9,99.65,105.87,31.51,125.42,118.62,125.36,117.75,125.03,119.3,111.28,106.46,116.06,92.48,116.38,105.52
2020-02-28,139.88,151.93,136.74,103.89,141.71,136.44,140.35,152.16,127.9,145.73,151.55,150.22,143.94,142.42,146.82,149.54,138.82,132.53,146.72,164.78,158.03,94.2,129.24,133.59,122.46,135.21,150.72,149.61,143.42,149.46,140.01,137.15,137.53,142.94,146.06,127.12,157.19,141.93,163.44,136.6,173.56,127.53,123.6,132.31,147.2,114.21,134.59,152.52,154.51,146.64,139.2,130.42,138.61,136.98,96.95,141.86,152.64,163.61,122.74,33.07,155.28,150.84,147.22,126.54,110.69,145.96,139.29,142.97,119.11,153.5,134.17,158.58,140.47,127.19,140.27,147.08,139.29,155.65,130.84,131.9,37.52,149.0,141.01,144.42,159.75,151.85,140.61,129.43,129.12,147.8,121.94,159.75,138.38
2020-02-29,151.72,176.52,140.46,106.64,178.15,131.3,151.39,176.13,130.07,147.94,243.56,155.57,141.59,150.63,170.43,147.35,121.06,124.57,171.48,159.57,130.94,86.57,204.75,127.75,126.97,149.96,156.68,151.88,154.94,128.4,151.66,145.14,182.94,128.22,157.12,134.09,142.13,138.34,160.13,128.65,148.29,114.89,138.03,129.32,156.52,131.52,136.63,140.53,157.72,143.98,156.76,131.12,133.01,138.57,97.65,177.56,159.52,158.97,122.59,32.38,160.57,153.6,133.19,126.33,114.85,145.49,132.72,158.28,117.58,146.17,137.64,143.63,141.78,152.36,149.65,162.94,151.12,160.73,149.35,136.52,35.33,156.67,151.08,158.86,126.71,144.64,138.89,143.69,158.39,143.99,113.45,151.84,135.87
2020-03-01,99.41,111.96,95.71,88.25,113.59,85.3,100.36,111.44,101.82,113.88,166.89,112.04,103.61,108.86,112.11,116.56,91.38,88.59,116.41,122.61,87.24,43.48,122.18,83.09,87.7,131.5,124.8,115.78,107.91,93.18,108.87,98.55,127.36,89.6,121.52,93.12,105.81,96.7,118.96,123.46,150.39,77.85,111.77,105.23,110.31,78.94,94.52,101.4,132.31,110.97,108.52,90.13,99.57,94.41,83.01,109.41,113.39,134.42,86.03,16.96,122.56,104.47,124.98,90.87,93.17,115.79,89.73,120.0,83.33,112.98,92.28,129.92,110.41,103.82,97.65,94.03,99.93,118.01,103.65,105.2,27.73,118.64,99.12,98.07,114.76,108.66,99.55,103.13,127.09,109.38,87.11,135.27,87.24
2020-03-02,106.43,109.21,107.45,104.5,102.94,106.93,106.58,110.73,96.24,105.04,108.84,118.5,121.7,104.43,102.7,110.52,91.67,107.74,98.13,106.39,91.83,70.43,103.81,105.65,93.97,95.15,106.44,114.29,113.76,99.1,108.81,107.73,112.67,99.7,116.05,100.86,102.05,110.59,111.25,94.95,110.24,95.43,103.94,110.88,110.94,96.41,108.8,115.8,114.83,114.03,119.47,98.99,107.24,108.14,103.29,99.99,106.71,117.98,73.58,17.89,116.0,102.68,112.89,102.47,96.29,114.32,97.5,118.39,106.8,109.43,93.73,113.71,104.79,90.88,104.08,100.33,106.78,103.55,101.22,94.94,35.26,107.35,112.83,109.49,105.45,114.27,110.61,108.21,89.12,110.74,112.53,110.01,107.21
2020-03-03,114.61,119.19,118.23,104.92,117.84,110.12,114.72,120.84,107.83,117.68,121.07,117.01,128.33,113.86,116.23,122.33,119.15,116.55,104.13,122.14,103.08,67.73,119.47,118.22,101.16,105.99,118.36,117.34,116.36,113.19,114.16,118.42,127.2,115.44,125.42,110.64,119.14,120.71,126.52,103.62,119.21,107.62,117.05,119.93,120.89,113.04,111.22,124.65,119.24,116.51,109.81,115.52,117.21,119.16,101.15,115.83,123.1,119.64,81.65,20.67,124.45,110.95,113.77,112.22,102.15,117.23,112.5,122.33,115.06,127.16,123.36,111.44,121.49,113.71,107.82,97.13,113.91,109.09,110.08,99.68,30.79,113.45,119.5,116.88,133.22,122.48,115.74,113.7,110.25,117.55,123.84,261.25,116.99
2020-03-04,116.28,114.61,117.31,100.7,126.72,121.74,116.21,115.38,103.39,118.4,126.34,126.23,127.11,112.6,112.98,115.34,115.37,122.4,107.06,127.9,99.99,58.45,113.9,117.79,109.27,96.01,132.69,118.24,121.82,110.71,110.2,117.3,137.17,111.0,134.59,111.15,112.36,123.87,122.03,105.2,117.09,115.87,128.82,123.92,120.66,105.12,116.41,122.4,123.47,120.81,113.48,108.23,118.15,117.9,95.18,123.63,124.11,128.34,86.38,23.22,131.21,116.0,119.95,123.62,103.34,120.46,114.46,138.31,120.26,127.05,137.64,118.81,115.48,109.0,112.81,121.64,123.65,114.36,101.56,96.02,28.69,117.75,120.67,115.87,117.93,124.7,129.59,117.72,109.61,117.62,114.02,127.56,112.46
2020-03-05,120.97,138.28,123.36,112.26,124.42,120.51,121.14,137.59,110.11,126.75,125.59,118.35,121.11,122.52,125.34,129.8,110.53,117.93,105.94,131.92,109.79,69.76,111.56,121.85,109.0,108.7,126.89,119.53,124.42,120.09,119.76,123.5,144.34,113.07,131.62,114.92,118.41,120.95,132.22,124.91,130.85,108.34,133.93,121.51,127.46,109.52,118.81,127.06,123.97,126.69,121.23,115.34,116.9,124.27,107.81,118.97,128.35,127.96,89.28,24.88,140.1,116.3,120.92,121.97,103.64,123.26,115.54,131.29,109.33,135.56,112.36,125.78,118.88,121.35,121.07,116.18,117.59,120.81,117.46,107.48,33.77,125.74,126.77,138.37,129.7,134.71,122.01,118.5,105.47,121.13,109.36,121.56,119.27
2020-03-06,136.05,144.02,135.88,98.67,128.59,128.68,137.25,144.52,135.67,150.62,174.6,154.46,157.91,153.39,146.72,158.69,146.15,142.98,140.24,163.63,126.23,77.29,138.81,143.88,126.77,141.98,160.87,161.38,152.23,140.47,150.8,137.89,151.82,134.08,158.45,131.8,151.48,143.25,161.22,162.03,182.08,127.0,143.7,127.49,153.26,134.94,134.78,160.91,152.17,146.14,143.17,122.45,137.02,134.42,91.6,122.91,150.16,171.0,121.9,30.24,172.13,144.87,160.46,130.52,128.58,146.24,136.25,157.92,129.05,153.29,142.37,180.0,156.2,143.65,147.37,125.96,139.22,155.5,141.27,135.93,40.38,152.42,154.26,146.6,137.17,159.24,141.93,146.76,120.14,146.33,135.24,166.68,137.39
2020-03-07,147.95,196.0,137.01,101.33,173.27,139.8,148.42,195.87,143.52,147.2,276.95,166.42,194.84,159.44,141.98,158.3,132.89,148.21,177.75,161.69,122.96,66.86,162.49,129.71,138.6,138.85,172.79,164.29,147.49,150.41,151.34,148.14,205.42,127.25,175.58,141.79,147.96,152.59,171.5,146.37,159.06,140.72,148.58,150.83,166.78,121.32,139.92,148.56,167.95,149.7,154.96,141.03,140.31,131.35,92.48,165.24,152.96,186.77,129.22,35.59,159.87,146.67,148.1,155.51,168.3,151.5,145.22,158.28,126.15,163.9,150.29,171.1,164.64,146.69,145.18,154.94,150.04,172.45,150.83,138.06,40.09,158.77,159.84,174.9,133.39,158.34,146.52,144.73,181.05,150.35,116.78,160.56,151.47
2020-03-08,96.26,113.07,94.68,78.54,110.74,85.13,97.28,113.95,112.32,112.52,212.32,122.81,116.2,115.48,115.93,117.51,91.53,89.81,120.94,130.36,101.42,59.9,93.65,90.32,99.39,119.39,147.1,136.16,104.74,102.01,118.43,98.84,137.73,94.57,123.97,97.54,108.68,103.03,124.22,122.66,158.29,87.53,112.77,101.25,113.87,79.79,97.39,101.75,133.22,113.2,125.06,100.45,96.54,91.63,71.88,102.5,118.67,143.43,89.59,19.13,122.15,110.82,129.92,97.01,115.0,119.72,101.14,123.02,88.84,124.52,101.93,149.97,119.19,102.5,98.31,92.38,106.71,129.9,126.15,103.17,24.8,110.61,92.57,84.89,114.15,115.97,99.51,100.82,123.37,107.52,88.95,142.89,91.4
2020-03-09,103.78,114.85,103.08,95.27,101.5,97.82,104.47,115.61,102.1,107.29,114.3,137.52,125.47,108.27,113.84,113.33,107.18,106.64,120.44,123.29,109.83,88.79,112.5,111.34,97.17,99.71,131.48,102.33,108.34,109.32,105.56,105.32,112.11,98.61,123.37,99.04,108.51,111.89,113.08,107.29,122.95,102.06,121.65,115.86,112.38,83.05,114.94,122.71,112.24,114.73,118.77,103.65,107.25,102.17,92.11,96.54,111.39,117.05,75.54,20.09,119.05,104.67,120.39,107.04,97.25,112.87,101.85,113.2,115.98,127.69,98.17,116.83,107.07,110.73,100.5,84.05,103.24,112.89,104.43,99.52,32.62,116.49,109.42,103.36,110.54,116.52,111.35,109.83,101.12,113.9,98.01,117.39,107.01
2020-03-10,108.74,116.44,108.3,97.04,109.11,105.14,109.14,116.8,103.4,108.73,119.29,113.15,115.02,110.21,113.54,115.31,106.65,106.61,106.23,122.9,113.87,93.43,115.47,118.01,101.71,99.71,127.46,114.81,114.8,104.59,116.88,110.42,122.01,106.23,120.11,102.85,105.16,118.41,121.65,103.45,109.29,111.66,128.15,121.01,113.98,95.8,117.92,123.49,114.47,116.82,120.21,104.73,112.09,108.21,95.13,104.57,117.85,123.78,78.37,19.22,126.07,107.26,112.62,108.27,99.63,115.62,118.37,113.4,119.65,128.99,102.12,113.99,111.63,110.67,102.54,82.74,115.14,119.78,108.86,99.18,27.85,118.54,112.57,101.01,115.11,117.78,114.26,111.39,105.12,110.43,103.99,106.57,112.93
2020-03-11,105.61,110.56,108.11,97.53,112.82,106.37,105.89,112.58,102.68,114.35,121.73,108.1,121.44,117.46,119.59,127.3,107.42,109.88,106.96,122.73,113.48,92.08,108.17,115.01,103.44,99.86,114.09,105.5,118.75,109.92,109.29,110.88,131.31,103.21,120.68,99.66,117.47,112.44,122.15,112.12,128.76,105.11,118.88,147.59,111.15,91.07,117.06,118.56,111.87,115.14,118.15,103.02,110.97,107.69,91.87,108.35,116.59,108.86,81.24,17.58,127.15,110.56,113.95,107.14,98.22,111.57,98.86,113.76,120.64,121.01,112.93,121.76,112.81,104.0,101.79,84.05,103.46,119.18,98.61,98.48,29.27,107.3,113.07,107.14,116.08,118.18,119.84,109.55,103.3,110.99,118.16,114.63,106.84
2020-03-12,104.01,109.26,105.94,88.44,101.85,98.83,104.22,110.16,107.53,110.05,112.32,108.54,118.25,109.4,109.26,118.24,94.02,102.3,101.45,125.44,113.2,92.17,96.35,111.23,90.99,111.62,110.71,114.68,109.34,111.89,97.22,105.16,121.62,99.07,106.88,99.1,109.28,106.8,144.27,111.27,138.52,102.96,102.17,120.51,110.14,96.09,107.69,126.44,121.34,115.92,114.55,99.03,109.35,105.68,83.94,94.55,118.32,118.33,86.06,17.53,117.74,114.18,120.3,103.6,97.03,115.07,101.09,112.26,112.69,112.72,103.96,124.99,106.4,109.6,102.06,80.62,105.77,118.73,94.09,100.99,28.86,113.39,99.83,97.98,118.72,119.26,110.45,100.07,96.98,111.63,110.18,116.25,106.08
2020-03-13,115.45,135.2,113.23,91.24,114.45,111.51,116.73,134.79,120.19,131.48,145.34,121.62,124.34,126.27,118.37,132.09,132.89,115.86,118.84,137.17,135.21,128.41,115.79,120.41,109.47,117.32,134.62,139.33,130.41,123.41,126.23,113.75,149.29,111.16,137.77,112.53,125.33,118.77,146.78,133.23,189.78,118.83,123.99,130.32,126.64,99.93,126.99,142.2,136.83,133.09,138.1,110.91,121.88,111.25,84.85,104.58,136.96,142.42,87.7,12.87,142.45,131.49,145.63,110.02,118.26,129.13,130.82,130.57,122.63,139.55,108.3,157.11,122.27,150.57,113.78,102.21,132.8,141.07,114.86,121.63,22.5,122.22,123.33,136.52,130.67,139.35,127.54,124.03,110.67,129.88,114.37,168.14,117.92
2020-03-14,103.17,129.46,89.56,67.42,96.97,102.24,104.26,129.47,97.79,98.29,141.3,102.08,104.95,113.72,116.39,112.32,109.38,104.11,109.62,115.83,113.5,148.89,104.4,104.18,90.35,103.71,135.67,114.94,113.26,99.51,111.7,89.47,119.56,94.36,124.86,90.67,112.58,106.79,116.66,127.33,136.58,89.42,114.05,117.52,106.46,86.11,119.7,120.77,123.99,115.65,130.75,100.63,96.24,88.17,61.63,91.48,116.24,113.23,53.35,6.51,117.51,105.82,113.06,104.39,84.56,115.52,112.66,123.02,92.05,124.46,95.56,146.57,112.81,110.61,102.97,91.3,116.51,142.31,101.82,80.65,13.56,95.38,104.8,93.62,109.75,118.66,109.18,111.99,98.04,116.83,101.89,131.09,98.18
2020-03-15,71.86,89.68,69.81,65.04,72.32,71.32,72.73,89.32,77.24,86.07,132.74,88.86,84.68,85.22,96.28,93.93,75.83,74.11,81.33,95.51,87.24,61.16,67.54,72.21,64.9,87.03,96.78,100.52,85.92,88.82,87.07,68.41,96.36,73.56,95.13,72.44,92.79,78.23,86.92,95.4,126.54,67.35,94.11,89.29,84.84,67.37,84.25,94.33,101.05,91.78,103.75,78.59,76.25,68.91,59.94,65.09,92.52,101.93,40.24,5.62,99.91,81.78,107.77,71.1,71.05,91.37,85.98,112.59,70.87,91.97,86.68,116.26,85.25,74.9,73.78,66.65,88.97,111.26,73.5,62.08,10.6,80.72,74.86,69.35,104.31,88.95,79.22,84.4,85.82,90.76,74.58,113.94,73.92
2020-03-16,86.04,96.38,80.95,72.92,74.79,91.22,87.23,97.1,77.88,92.96,107.9,99.78,103.32,93.91,102.75,99.76,99.62,89.84,77.63,96.99,90.94,65.8,80.36,95.04,75.57,93.8,97.26,92.56,108.81,86.82,97.6,81.4,97.43,82.64,109.05,83.92,99.08,88.15,103.1,98.4,126.12,83.95,98.67,104.82,91.37,82.89,94.06,115.37,96.11,96.02,103.71,89.43,86.14,79.29,68.08,65.89,94.7,95.13,44.2,5.58,103.08,92.27,107.41,89.7,74.91,95.59,95.0,97.7,96.87,95.42,86.87,97.22,87.19,90.46,82.2,74.13,88.25,102.59,86.45,67.98,11.61,80.2,91.26,100.76,108.08,95.52,88.03,92.89,87.51,97.84,96.83,127.48,87.57
