date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-19,Shelby County,102,103,,101,101,100
2020-02-19,Spencer County,107,105,,,103,
2020-02-19,St. Joseph County,106,99,115,109,101,100
2020-02-19,Starke County,102,98,,,101,
2020-02-19,Steuben County,101,107,,103,101,99
2020-02-19,Sullivan County,97,96,,,101,
2020-02-19,Switzerland County,,96,,,99,
2020-02-19,Tippecanoe County,102,104,109,96,102,99
2020-02-19,Tipton County,109,118,,,101,
2020-02-19,Union County,,,,,108,
2020-02-19,Vanderburgh County,104,103,108,,102,100
2020-02-19,Vermillion County,117,,,102,101,
2020-02-19,Vigo County,104,104,,96,102,100
2020-02-19,Wabash County,108,101,,,102,99
2020-02-19,Warren County,,,,,98,
2020-02-19,Warrick County,107,104,,,102,100
2020-02-19,Washington County,111,109,,,105,100
2020-02-19,Wayne County,101,97,,107,100,99
2020-02-19,Wells County,109,114,,,104,99
2020-02-19,White County,106,123,,,102,100
2020-02-19,Whitley County,101,98,,,99,100
2020-02-20,,103,99,101,105,101,100
2020-02-20,Adams County,100,96,,,101,100
2020-02-20,Allen County,106,98,90,103,102,100
2020-02-20,Bartholomew County,102,102,104,106,102,100
2020-02-20,Benton County,,,,,101,
2020-02-20,Blackford County,107,99,,,106,
2020-02-20,Boone County,104,95,,103,101,100
2020-02-20,Brown County,97,106,,,101,
2020-02-20,Carroll County,104,108,,,101,
2020-02-20,Cass County,107,97,,,102,100
2020-02-20,Clark County,103,103,100,102,103,101
2020-02-20,Clay County,109,91,,116,98,100
2020-02-20,Clinton County,100,99,,,100,100
2020-02-20,Crawford County,,,,97,101,
2020-02-20,Daviess County,101,105,,,105,100
2020-02-20,Dearborn County,102,98,,,100,100
2020-02-20,Decatur County,105,96,,105,99,101
2020-02-20,DeKalb County,99,103,,,102,99
2020-02-20,Delaware County,102,101,,106,102,100
2020-02-20,Dubois County,104,100,,,100,101
2020-02-20,Elkhart County,111,94,98,113,103,99
2020-02-20,Fayette County,99,98,,,102,101
2020-02-20,Floyd County,102,93,,,101,101
2020-02-20,Fountain County,105,104,,,101,
2020-02-20,Franklin County,110,99,,,98,
2020-02-20,Fulton County,109,92,,,102,
2020-02-20,Gibson County,101,92,,102,105,100
2020-02-20,Grant County,107,101,,113,102,100
2020-02-20,Greene County,99,98,,,105,101
2020-02-20,Hamilton County,102,98,94,,100,100
2020-02-20,Hancock County,101,118,,102,102,100
2020-02-20,Harrison County,102,101,,,98,102
2020-02-20,Hendricks County,102,105,,109,102,100
2020-02-20,Henry County,105,106,,97,100,101
2020-02-20,Howard County,101,100,,,102,99
2020-02-20,Huntington County,108,102,,,101,100
2020-02-20,Jackson County,105,100,,105,99,100
2020-02-20,Jasper County,107,97,,101,100,99
2020-02-20,Jay County,103,104,,,99,
2020-02-20,Jefferson County,104,97,,,104,100
2020-02-20,Jennings County,106,102,,,102,100
2020-02-20,Johnson County,101,106,113,101,101,100
2020-02-20,Knox County,109,104,,,101,99
2020-02-20,Kosciusko County,105,99,,,101,100
2020-02-20,LaGrange County,105,102,,107,95,101
2020-02-20,Lake County,102,99,102,108,102,100
2020-02-20,LaPorte County,105,99,95,102,101,100
2020-02-20,Lawrence County,103,99,,,103,101
2020-02-20,Madison County,105,95,,103,101,100
2020-02-20,Marion County,102,97,97,102,101,100
2020-02-20,Marshall County,105,96,,98,100,100
2020-02-20,Martin County,99,98,,,99,
2020-02-20,Miami County,100,98,,,104,99
2020-02-20,Monroe County,102,102,96,104,102,100
2020-02-20,Montgomery County,103,101,,,103,99
