,date,case_count_daily,avg_cases_by_week,grociery_pharmacy_mobility,parks_mobility,retail_recreation_mobility,transit_stations_mobility,workplace_mobility,driving_mobility_vehicle,transit_mobility_vehicle,walking_mobility_instance,std_last_week_grociery_pharmacy_mobility,std_last_week_park_mobility,std_last_week_retail_recreation_mobility,std_last_week_transit_station_mobility,std_last_week_workplace_mobility
143,7.7.20,169.0,1071.0,103,143,93,84,63,142.41,63.47,148.47,7.887603293414661,26.1038448180668,4.17475405605784,3.57571171736681,10.3363090953341
144,7.8.20,115.0,1071.0,102,145,93,82,63,146.0,62.54,147.62,7.87400787401181,27.004959861900502,4.24053568044685,3.5456210417116703,10.322478938150999
145,7.9.20,160.0,1071.0,102,145,93,81,64,152.02,68.02,156.59,7.66135944669277,27.9690517741102,4.30116263352131,3.52288437018791,10.3060315211184
146,7.10.20,191.0,1071.0,98,151,88,81,64,172.64,66.93,202.69,6.534250421542519,28.329376474405,4.32393669836048,2.9246489410818897,10.295630140987
147,7.11.20,205.0,936.0,98,201,83,90,88,162.46,62.08,193.47,4.43806585929373,31.3411527730372,4.56696210375594,4.24053568044685,9.77515071129706
148,7.12.20,161.0,936.0,98,233,90,80,85,122.43,51.19,128.61,4.40778532015472,35.765106698329,4.405759217855,4.03334317196754,11.2884264372219
149,7.13.20,105.0,936.0,99,172,94,79,64,139.86,60.18,133.16,2.18762754730194,33.721548854447,3.81491434092188,3.7583240945932297,10.875923606099601
150,7.14.20,125.0,936.0,102,160,94,85,64,144.1,61.52,140.8,2.18762754730194,32.4290434201019,3.7416573867739396,3.53553390593274,10.6091267985905
151,7.15.20,111.0,936.0,103,159,93,81,65,148.25,62.4,140.89,2.18762754730194,31.079391426290396,3.66206421103103,3.5431019500674,10.4599576617553
152,7.16.20,118.0,936.0,99,142,92,79,64,148.47,62.67,140.86,2.10017006114131,31.450357708617602,3.66206421103103,3.7416573867739396,10.3751075725921
153,7.17.20,129.0,936.0,98,165,87,83,65,175.99,67.19,195.88,1.99553072067128,29.9019230150838,3.57571171736681,3.73210013646089,10.3016988890183
